Titulo,Vendas_Totais
Dragon's Dogma,2.58
Killzone: Shadow Fall,2.58
Harry Potter and the Order of the Phoenix,2.57
Ratchet & Clank: Up Your Arsenal,2.57
Art Academy,2.57
NFL Blitz,2.56
Dragon Warrior II,2.56
Sonic Adventure 2 Battle,2.56
SSX 3,2.56
Grand Theft Auto,2.56
Tony Hawk's Project 8,2.55
[Prototype],2.55
LEGO City Undercover,2.54
ESPN NBA 2K5,2.54
NCAA Football 10,2.54
Scooby-Doo! Night of 100 Frights,2.54
Deca Sports,2.54
Pok?mon Colosseum,2.54
Rayman Raving Rabbids: TV Party,2.53
Dragon Warrior,2.52
Game Party,2.52
Perfect Dark,2.52
NCAA Football 2005,2.52
Def Jam: Fight for NY,2.52
Conflict: Desert Storm,2.52
Pro Evolution Soccer 2013,2.52
Tom Clancy's Ghost Recon 2,2.51
Disney Sing It,2.51
Star Wars: Dark Forces,2.5
NASCAR 99,2.5
Mario Party 2,2.5
Assassin's Creed: Rogue,2.49
Theme Hospital,2.49
Resistance 2,2.48
Yoshi,2.48
Sonic & All-Stars Racing Transformed,2.48
Pac-Man World 2,2.48
007: The World is not Enough,2.47
SpongeBob SquarePants: Revenge of the Flying Dutchman,2.47
Mario Party 4,2.47
WWF Attitude,2.47
uDraw Studio,2.46
Crysis 3,2.46
Final Fantasy Tactics,2.45
F1 2011,2.45
Alien: Isolation,2.45
Twisted Metal 2,2.44
Tiger Woods PGA Tour 2005,2.44
Halo: Combat Evolved Anniversary,2.44
Grand Theft Auto: Chinatown Wars,2.43
Marvel vs. Capcom 3: Fate of Two Worlds,2.43
NFL Street,2.43
Sonic Adventure,2.42
Tom Clancy's Rainbow Six 3,2.42
Dino Crisis,2.41
ATV Offroad Fury,2.41
Ridge Racer,2.4
Rocksmith,2.4
Pro Wrestling,2.4
Resident Evil - Code: Veronica X,2.4
Tetris Plus,2.4
Frogger's Adventures: Temple of the Frog,2.39
Kinect: Disneyland Adventures,2.38
Yu-Gi-Oh! The Duelists of the Roses,2.38
WCW/nWo Revenge,2.38
Medal of Honor: Airborne,2.38
Bloodborne,2.38
Guitar Hero,2.38
NBA Jam Tournament Edition,2.37
NBA Live 08,2.37
Tomb Raider: Anniversary,2.37
Cabela's Big Game Hunter 2010,2.37
Mirror's Edge,2.37
Turok: Evolution,2.36
Kinect Sports: Season Two,2.36
Madden NFL 2000,2.36
Kirby's Dream Land 2,2.36
The Walking Dead: Season One,2.36
MX Unleashed,2.36
Donkey Kong Land II,2.35
NBA Live 2001,2.35
Dragon Quest Monsters 2,2.35
Harry Potter and the Goblet of Fire,2.35
Dragon Warrior Monsters,2.35
Shaun White Snowboarding,2.34
My Fitness Coach,2.34
Disney Infinity 3.0,2.34
NBA Live 07,2.33
Metal Gear Solid V: Ground Zeroes,2.33
Star Wars: Knights of the Old Republic,2.33
SpongeBob SquarePants: SuperSponge,2.33
Knockout Kings 2000,2.33
Just Dance Kids,2.32
WWE 2K14,2.32
The Legend of Zelda: Majora's Mask 3D,2.32
NBA Live 2003,2.32
Crash of the Titans,2.32
Tiger Woods PGA Tour 2003,2.31
Need For Speed: High Stakes,2.31
SingStar Abba,2.31
Cool Boarders 3,2.31
Mercenaries 2: World in Flames,2.31
Epic Mickey 2: The Power of Two,2.31
WarioWare Touched!,2.31
Aliens vs Predator,2.3
F1 2010,2.3
Pokemon Ranger: Shadows of Almia,2.3
Crash: Mind Over Mutant,2.3
Guild Wars 2,2.3
Final Fantasy X / X-2 HD Remaster,2.3
50 Cent: Bulletproof,2.3
NFL Street 2,2.29
God of War: Ascension,2.29
NBA 2K9,2.29
Midnight Club II,2.28
Yokai Watch Busters,2.28
Tom Clancy's Splinter Cell: Blacklist,2.28
Tom Clancy's Rainbow Six,2.28
TOCA Touring Car Championship,2.28
Dynasty Warriors 4,2.27
Super Monkey Ball: Banana Blitz,2.27
Kirby: Nightmare in Dream Land,2.27
Disney Universe,2.27
Paper Mario: Sticker Star,2.27
Darksiders II,2.26
LEGO Marvel's Avengers,2.26
Wario Land 4,2.26
NCAA Football 2004,2.25
Doom (2016),2.25
Paper Mario: The Thousand-Year Door,2.25
Dissidia: Final Fantasy,2.25
Onimusha 2: Samurai's Destiny,2.25
